IDTime;Class
961531200;stay
961545600;buy
961560000;buy
961574400;buy
961588800;stay
961603200;stay
961617600;buy
961632000;buy
961646400;buy
961660800;sell
961675200;buy
961689600;stay
961704000;sell
961718400;sell
961732800;sell
961747200;buy
961761600;buy
961776000;stay
961790400;buy
961977600;buy
961992000;sell
962006400;sell
962020800;stay
962035200;stay
962049600;sell
962064000;stay
962078400;sell
962092800;sell
962107200;sell
962121600;sell
962136000;buy
962150400;buy
962164800;buy
962179200;buy
962193600;buy
962208000;buy
962222400;sell
962236800;sell
962251200;sell
962265600;sell
962280000;stay
962294400;stay
962308800;sell
962323200;sell
962337600;sell
962352000;stay
962366400;buy
962380800;buy
962395200;stay
962582400;buy
962596800;buy
962611200;stay
962625600;sell
962640000;stay
962654400;stay
962668800;stay
962683200;sell
962697600;stay
962712000;stay
962726400;stay
962740800;sell
962755200;sell
962769600;sell
962784000;stay
962798400;stay
962812800;stay
962827200;sell
962841600;sell
962856000;buy
962870400;buy
962884800;buy
962899200;stay
962913600;stay
962928000;stay
962942400;stay
962956800;stay
962971200;stay
962985600;stay
963000000;sell
963187200;stay
963201600;buy
963216000;stay
963230400;stay
963244800;stay
963259200;stay
963273600;buy
963288000;buy
963302400;buy
963316800;stay
963331200;stay
963345600;buy
963360000;stay
963374400;buy
963388800;buy
963403200;buy
963417600;stay
963432000;buy
963446400;buy
963460800;buy
963475200;stay
963489600;stay
963504000;stay
963518400;stay
963532800;stay
963547200;stay
963561600;buy
963576000;stay
963590400;stay
963604800;stay
963792000;stay
963806400;buy
963820800;buy
963835200;stay
963849600;stay
963864000;stay
963878400;stay
963892800;buy
963907200;buy
963921600;buy
963936000;buy
963950400;stay
963964800;buy
963979200;buy
963993600;buy
964008000;buy
964022400;stay
964036800;buy
964051200;buy
964065600;sell
964080000;sell
964094400;sell
964108800;stay
964123200;stay
964137600;sell
964152000;stay
964166400;buy
964180800;buy
964195200;stay
964209600;stay
964396800;buy
964411200;buy
964425600;stay
964440000;stay
964454400;stay
964468800;sell
964483200;sell
964497600;sell
964512000;stay
964526400;stay
964540800;stay
964555200;sell
964569600;sell
964584000;stay
964598400;stay
964612800;sell
964627200;stay
964641600;buy
964656000;buy
964670400;buy
964684800;buy
964699200;buy
964713600;stay
964728000;buy
964742400;buy
964756800;buy
964771200;buy
964785600;stay
964800000;stay
964814400;stay
965001600;sell
965016000;sell
965030400;sell
965044800;stay
965059200;stay
965073600;stay
965088000;stay
965102400;buy
965116800;buy
965131200;buy
965145600;buy
965160000;sell
965174400;buy
965188800;buy
965203200;buy
965217600;sell
965232000;stay
965246400;buy
965260800;buy
965275200;buy
965289600;buy
965304000;stay
965318400;stay
965332800;buy
965347200;buy
965361600;buy
965376000;buy
965390400;stay
965404800;stay
965419200;stay
965606400;stay
965620800;stay
965635200;stay
965649600;stay
965664000;stay
965678400;stay
965692800;buy
965707200;buy
965721600;buy
965736000;stay
965750400;stay
965764800;buy
965779200;buy
965793600;buy
965808000;sell
965822400;stay
965836800;sell
965851200;stay
965865600;sell
965880000;sell
965894400;sell
965908800;stay
965923200;stay
965937600;stay
965952000;sell
965966400;sell
965980800;buy
965995200;buy
966009600;stay
966024000;stay
966211200;stay
966225600;sell
966240000;buy
966254400;stay
966268800;stay
966283200;sell
966297600;sell
966312000;sell
966326400;stay
966340800;stay
966355200;stay
966369600;sell
966384000;sell
966398400;buy
966412800;sell
966427200;sell
966441600;stay
966456000;buy
966470400;stay
966484800;stay
966499200;stay
966513600;stay
966528000;stay
966542400;stay
966556800;buy
966571200;sell
966585600;buy
966600000;stay
966614400;stay
966628800;stay
966816000;buy
966830400;buy
966844800;buy
966859200;stay
966873600;stay
966888000;buy
966902400;buy
966916800;buy
966931200;buy
966945600;stay
966960000;buy
966974400;buy
966988800;sell
967003200;sell
967017600;sell
967032000;sell
967046400;sell
967060800;stay
967075200;sell
967089600;sell
967104000;sell
967118400;stay
967132800;buy
967147200;buy
967161600;sell
967176000;sell
967190400;sell
967204800;sell
967219200;stay
967233600;stay
967420800;stay
967435200;buy
967449600;stay
967464000;stay
967478400;buy
967492800;buy
967507200;buy
967521600;buy
967536000;buy
967550400;buy
967564800;stay
967579200;buy
967593600;buy
967608000;buy
967622400;sell
967636800;sell
967651200;sell
967665600;buy
967680000;buy
967694400;buy
967708800;buy
967723200;buy
967737600;stay
967752000;stay
967766400;sell
967780800;sell
967795200;sell
967809600;sell
967824000;stay
967838400;stay
968025600;stay
968040000;buy
968054400;buy
968068800;stay
968083200;stay
968097600;buy
968112000;buy
968126400;buy
968140800;buy
968155200;stay
968169600;stay
968184000;buy
968198400;buy
968212800;buy
968227200;buy
968241600;buy
968256000;buy
968270400;buy
968284800;sell
968299200;sell
968313600;sell
968328000;sell
968342400;buy
968356800;stay
968371200;buy
968385600;sell
968400000;buy
968414400;buy
968428800;sell
968443200;sell
968630400;sell
968644800;sell
968659200;sell
968673600;stay
968688000;stay
968702400;sell
968716800;sell
968731200;sell
968745600;sell
968760000;buy
968774400;stay
968788800;sell
968803200;sell
968817600;sell
968832000;sell
968846400;buy
968860800;buy
968875200;sell
968889600;sell
968904000;sell
968918400;sell
968932800;buy
968947200;stay
968961600;sell
968976000;buy
968990400;sell
969004800;buy
969019200;buy
969033600;buy
969048000;sell
969235200;sell
969249600;sell
969264000;sell
969278400;buy
969292800;buy
969307200;buy
969321600;sell
969336000;sell
969350400;sell
969364800;stay
969379200;stay
969393600;buy
969408000;buy
969422400;buy
969436800;sell
969451200;buy
969465600;stay
969480000;sell
969494400;sell
969508800;sell
969523200;sell
969537600;sell
969552000;sell
969566400;buy
969580800;sell
969595200;sell
969609600;sell
969624000;buy
969638400;stay
969652800;sell
969840000;buy
969854400;buy
969868800;buy
969883200;sell
969897600;stay
969912000;sell
969926400;sell
969940800;sell
969955200;sell
969969600;stay
969984000;sell
969998400;sell
970012800;sell
970027200;buy
970041600;buy
970056000;buy
970070400;sell
970084800;buy
970099200;buy
970113600;buy
970128000;buy
970142400;buy
970156800;stay
970171200;stay
970185600;buy
970200000;sell
970214400;sell
970228800;sell
970243200;stay
970257600;stay
970444800;buy
970459200;sell
970473600;buy
970488000;buy
970502400;stay
970516800;stay
970531200;stay
970545600;stay
970560000;stay
970574400;buy
970588800;stay
970603200;stay
970617600;stay
970632000;buy
970646400;buy
970660800;buy
970675200;stay
970689600;stay
970704000;buy
970718400;buy
970732800;sell
970747200;buy
970761600;buy
970776000;sell
970790400;sell
970804800;buy
970819200;buy
970833600;stay
970848000;stay
970862400;stay
971049600;stay
971064000;buy
971078400;buy
971092800;stay
971107200;stay
971121600;sell
971136000;sell
971150400;sell
971164800;buy
971179200;sell
971193600;sell
971208000;sell
971222400;sell
971236800;sell
971251200;buy
971265600;sell
971280000;buy
971294400;sell
971308800;buy
971323200;sell
971337600;sell
971352000;sell
971366400;stay
971380800;stay
971395200;stay
971409600;buy
971424000;buy
971438400;buy
971452800;stay
971467200;buy
971654400;buy
971668800;buy
971683200;buy
971697600;sell
971712000;stay
971726400;buy
971740800;buy
971755200;buy
971769600;sell
971784000;sell
971798400;sell
971812800;stay
971827200;sell
971841600;sell
971856000;sell
971870400;buy
971884800;stay
971899200;stay
971913600;sell
971928000;stay
971942400;stay
971956800;sell
971971200;stay
971985600;sell
972000000;buy
972014400;buy
972028800;buy
972043200;sell
972057600;buy
972072000;buy
972259200;stay
972273600;buy
972288000;buy
972302400;buy
972316800;stay
972331200;sell
972345600;sell
972360000;sell
972374400;buy
972388800;stay
972403200;stay
972417600;buy
972432000;buy
972446400;buy
972460800;buy
972475200;buy
972489600;stay
972504000;buy
972518400;buy
972532800;sell
972547200;sell
972561600;sell
972576000;buy
972590400;stay
972604800;sell
972619200;sell
972633600;sell
972648000;sell
972662400;stay
972676800;sell
972864000;sell
972878400;sell
972892800;buy
972907200;buy
972921600;stay
972936000;stay
972950400;buy
972964800;sell
972979200;sell
972993600;sell
973008000;sell
973022400;sell
973036800;sell
973051200;sell
973065600;sell
973080000;sell
973094400;stay
973108800;stay
973123200;sell
973137600;sell
973152000;buy
973166400;stay
973180800;stay
973195200;sell
973209600;sell
973224000;sell
973238400;sell
973252800;sell
973267200;stay
973281600;sell
973468800;sell
973483200;sell
973497600;buy
973512000;buy
973526400;sell
973540800;stay
973555200;buy
973569600;buy
973584000;buy
973598400;sell
973612800;sell
973627200;sell
973641600;buy
973656000;buy
973670400;buy
973684800;buy
973699200;stay
973713600;stay
973728000;sell
973742400;sell
973756800;sell
973771200;sell
973785600;sell
973800000;buy
973814400;buy
973828800;buy
973843200;buy
973857600;buy
973872000;sell
973886400;sell
974073600;sell
974088000;buy
974102400;buy
974116800;buy
974131200;buy
974145600;sell
974160000;sell
974174400;buy
974188800;buy
974203200;stay
974217600;stay
974232000;sell
974246400;sell
974260800;buy
974275200;buy
974289600;buy
974304000;stay
974318400;stay
974332800;buy
974347200;buy
974361600;buy
974376000;buy
974390400;sell
974404800;stay
974419200;sell
974433600;buy
974448000;buy
974462400;buy
974476800;buy
974491200;stay
974678400;buy
974692800;buy
974707200;sell
974721600;sell
974736000;sell
974750400;stay
974764800;stay
974779200;buy
974793600;buy
974808000;buy
974822400;sell
974836800;sell
974851200;buy
974865600;buy
974880000;stay
974894400;stay
974908800;stay
974923200;stay
974937600;stay
974952000;buy
974966400;buy
974980800;buy
974995200;stay
975009600;sell
975024000;sell
975038400;sell
975052800;buy
975067200;sell
975081600;sell
975096000;sell
975283200;sell
975297600;sell
975312000;sell
975326400;sell
975340800;stay
975355200;buy
975369600;sell
975384000;sell
975398400;sell
975412800;sell
975427200;stay
975441600;sell
975456000;sell
975470400;sell
975484800;buy
975499200;stay
975513600;buy
975528000;sell
975542400;sell
975556800;sell
975571200;sell
975585600;sell
975600000;sell
975614400;sell
975628800;buy
975643200;sell
975657600;buy
975672000;sell
975686400;stay
975700800;sell
975888000;sell
975902400;sell
975916800;sell
975931200;buy
975945600;buy
975960000;sell
975974400;buy
975988800;buy
976003200;buy
976017600;stay
976032000;stay
976046400;sell
976060800;sell
976075200;sell
976089600;sell
976104000;sell
976118400;sell
976132800;sell
976147200;sell
976161600;sell
976176000;buy
976190400;stay
976204800;stay
976219200;buy
976233600;buy
976248000;sell
976262400;buy
976276800;buy
976291200;sell
976305600;buy
976492800;buy
976507200;buy
976521600;buy
976536000;stay
976550400;stay
976564800;sell
976579200;sell
976593600;sell
976608000;buy
976622400;stay
976636800;stay
976651200;buy
976665600;sell
976680000;sell
976694400;sell
976708800;stay
976723200;sell
976737600;sell
976752000;sell
976766400;sell
976780800;sell
976795200;sell
976809600;sell
976824000;sell
976838400;sell
976852800;sell
976867200;stay
976881600;stay
976896000;sell
976910400;sell
977097600;sell
977112000;buy
977126400;stay
977140800;buy
977155200;stay
977169600;buy
977184000;buy
977198400;buy
977212800;sell
977227200;sell
977241600;sell
977256000;stay
977270400;sell
977284800;sell
977299200;sell
977313600;stay
977328000;stay
977342400;sell
977356800;sell
977371200;sell
977385600;sell
977400000;sell
977414400;sell
977428800;sell
977443200;sell
977457600;sell
977472000;sell
977486400;stay
977500800;stay
977515200;stay
977702400;stay
977716800;stay
977731200;stay
977745600;stay
977774400;sell
977788800;sell
977803200;sell
977817600;sell
977832000;sell
977846400;stay
977860800;buy
977875200;buy
977889600;buy
977904000;buy
977918400;stay
977932800;stay
977947200;buy
977961600;buy
977976000;stay
977990400;sell
978004800;sell
978019200;stay
978033600;stay
978048000;stay
978062400;sell
978076800;sell
978091200;sell
978105600;sell
978120000;stay
978307200;stay
978321600;stay
978336000;buy
978350400;buy
978379200;buy
978393600;sell
978408000;sell
978422400;sell
978436800;sell
978451200;sell
978465600;sell
978480000;sell
978494400;sell
978508800;buy
978523200;buy
978537600;buy
978552000;sell
978566400;sell
978580800;sell
978595200;buy
978609600;buy
978624000;sell
978638400;sell
978652800;sell
978667200;sell
978681600;sell
978696000;stay
978710400;stay
978724800;buy
978912000;buy
978926400;buy
978940800;stay
978955200;stay
978969600;stay
978984000;buy
978998400;buy
979012800;buy
979027200;stay
979041600;stay
979056000;stay
979070400;buy
979084800;buy
979099200;buy
979113600;buy
979128000;buy
979142400;stay
979156800;sell
979171200;sell
979185600;sell
979200000;sell
979214400;stay
979228800;stay
979243200;stay
979257600;buy
979272000;buy
979286400;buy
979300800;buy
979315200;buy
979329600;buy
979516800;buy
979531200;buy
979545600;stay
979560000;stay
979574400;buy
979588800;buy
979603200;buy
979617600;sell
979632000;stay
979646400;sell
979660800;sell
979675200;buy
979689600;buy
979704000;buy
979718400;buy
979732800;sell
979747200;sell
979761600;sell
979776000;sell
979790400;sell
979804800;sell
979819200;sell
979833600;sell
979848000;sell
979862400;buy
979876800;buy
979891200;buy
979905600;buy
979920000;stay
979934400;buy
980121600;buy
980136000;buy
980150400;sell
980164800;sell
980179200;sell
980193600;sell
980208000;stay
980222400;stay
980236800;buy
980251200;buy
980265600;buy
980280000;stay
980294400;buy
980308800;buy
980323200;buy
980337600;stay
980352000;buy
980366400;buy
980380800;buy
980395200;sell
980409600;sell
980424000;sell
980438400;stay
980452800;sell
980467200;sell
980481600;sell
980496000;buy
980510400;sell
980524800;sell
980539200;stay
980726400;buy
980740800;stay
980755200;stay
980769600;stay
980784000;stay
980798400;stay
980812800;stay
980827200;sell
980841600;sell
980856000;sell
980870400;stay
980884800;sell
980899200;stay
980913600;sell
980928000;sell
980942400;sell
980956800;sell
980971200;sell
980985600;sell
981000000;stay
981014400;stay
981028800;buy
981043200;buy
981057600;stay
981072000;buy
981086400;buy
981100800;buy
981115200;stay
981129600;sell
981144000;sell
981331200;sell
981345600;sell
981360000;sell
981374400;stay
981388800;stay
981403200;stay
981417600;buy
981432000;buy
981446400;buy
981460800;buy
981475200;stay
981489600;buy
981504000;sell
981518400;sell
981532800;sell
981547200;buy
981561600;buy
981576000;stay
981590400;buy
981604800;buy
981619200;buy
981633600;stay
981648000;stay
981662400;sell
981676800;sell
981691200;sell
981705600;sell
981720000;stay
981734400;sell
981748800;sell
981936000;stay
981950400;buy
981964800;stay
981979200;stay
981993600;stay
982008000;buy
982022400;buy
982036800;buy
982051200;buy
982065600;buy
982080000;stay
982094400;stay
982108800;stay
982123200;stay
982137600;stay
982152000;stay
982166400;stay
982180800;buy
982195200;buy
982209600;buy
982224000;buy
982238400;stay
982252800;sell
982267200;sell
982281600;sell
982296000;sell
982310400;sell
982324800;stay
982339200;stay
982353600;sell
982540800;sell
982555200;sell
982569600;stay
982584000;stay
982598400;stay
982612800;buy
982627200;buy
982641600;buy
982656000;buy
982670400;sell
982684800;buy
982699200;sell
982713600;sell
982728000;sell
982742400;sell
982756800;buy
982771200;buy
982785600;buy
982800000;sell
982814400;sell
982828800;buy
982843200;sell
982857600;stay
982872000;stay
982886400;sell
982900800;sell
982915200;sell
982929600;sell
982944000;stay
982958400;buy
983145600;buy
983160000;buy
983174400;stay
983188800;stay
983203200;stay
983217600;sell
983232000;sell
983246400;sell
983260800;sell
983275200;buy
983289600;stay
983304000;stay
983318400;sell
983332800;sell
983347200;sell
983361600;sell
983376000;stay
983390400;sell
983404800;sell
983419200;sell
983433600;sell
983448000;stay
983462400;buy
983476800;sell
983491200;sell
983505600;sell
983520000;buy
983534400;buy
983548800;sell
983563200;sell
983750400;buy
983764800;stay
983779200;stay
983793600;stay
983808000;stay
983822400;stay
983836800;stay
983851200;stay
983865600;sell
983880000;sell
983894400;stay
983908800;stay
983923200;buy
983937600;buy
983952000;buy
983966400;stay
983980800;stay
983995200;stay
984009600;stay
984024000;stay
984038400;buy
984052800;stay
984067200;stay
984081600;stay
984096000;buy
984110400;sell
984124800;buy
984139200;stay
984153600;stay
984168000;buy
984355200;buy
984369600;buy
984384000;sell
984398400;stay
984412800;stay
984427200;buy
984441600;buy
984456000;buy
984470400;buy
984484800;buy
984499200;buy
984513600;sell
984528000;sell
984542400;sell
984556800;sell
984571200;stay
984585600;buy
984600000;buy
984614400;buy
984628800;sell
984643200;buy
984657600;buy
984672000;buy
984686400;buy
984700800;buy
984715200;buy
984729600;sell
984744000;stay
984758400;stay
984772800;stay
984960000;sell
984974400;sell
984988800;buy
985003200;stay
985017600;sell
985032000;sell
985046400;sell
985060800;buy
985075200;sell
985089600;sell
985104000;sell
985118400;buy
985132800;buy
985147200;buy
985161600;buy
985176000;buy
985190400;stay
985204800;buy
985219200;buy
985233600;buy
985248000;buy
985262400;sell
985276800;sell
985291200;sell
985305600;sell
985320000;sell
985334400;buy
985348800;buy
985363200;sell
985377600;sell
985564800;sell
985579200;stay
985593600;stay
985608000;stay
985622400;stay
985636800;stay
985651200;stay
985665600;sell
985680000;sell
985694400;buy
985708800;stay
985723200;buy
985737600;buy
985752000;buy
985766400;stay
985780800;stay
985795200;stay
985809600;stay
985824000;stay
985838400;buy
985852800;buy
985867200;stay
985881600;buy
985896000;buy
985910400;sell
985924800;sell
985939200;sell
985953600;buy
985968000;stay
985982400;stay
986169600;sell
986184000;sell
986198400;sell
986212800;stay
986227200;stay
986241600;sell
986256000;sell
986270400;sell
986284800;sell
986299200;sell
986313600;sell
986328000;buy
986342400;sell
986356800;sell
986371200;sell
986385600;buy
986400000;sell
986414400;sell
986428800;buy
986443200;buy
986457600;buy
986472000;stay
986486400;buy
986500800;sell
986515200;sell
986529600;sell
986544000;sell
986558400;sell
986572800;stay
986587200;buy
986774400;stay
986788800;stay
986803200;buy
986817600;buy
986832000;buy
986846400;stay
986860800;stay
986875200;buy
986889600;buy
986904000;buy
986918400;stay
986932800;stay
986947200;buy
986961600;buy
986976000;buy
986990400;sell
987004800;stay
987019200;stay
987033600;sell
987048000;sell
